"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,25,0,0
1,0.01,-1.4504e-25,-1.4504e-25,4.682e-22,6.2891e-20,2.5156e-16,3.7456e-18,7.547e-16,1.7105e-40,1.1337e-38,0,1,0,1.393e-37,7.76e-36,0,,25,0,0
2,0.02,1.4801e-23,1.4801e-23,-3.6449e-20,7.026e-19,2.8106e-15,-2.9159e-16,8.4313e-15,-1.3108e-38,1.2666e-37,0,1,0,-4.0963e-36,1.7776e-35,0,,25,0,0
3,0.03,1.723e-22,1.723e-22,-3.7565e-19,2.4415e-18,9.7679e-15,-3.0052e-15,2.9298e-14,-1.3531e-37,4.4012e-37,0,1,0,-2.5342e-35,5.0015e-35,0,,25,0,0
4,0.04,1.0061e-21,1.0061e-21,-1.8733e-18,7.7246e-18,3.091e-14,-1.4986e-14,9.2699e-14,-6.7502e-37,1.3925e-36,0,1,0,-1.0172e-34,1.65e-34,0,,25,0,0
5,0.05,3.5878e-21,3.5878e-21,-7.9101e-18,2.6705e-17,1.0686e-13,-6.3281e-14,3.2047e-13,-2.8502e-36,4.8143e-36,0,1,0,-1.8901e-34,8.4741e-34,0,,25,0,0
6,0.06,5.2735e-21,5.2735e-21,-4.5822e-17,7.3225e-17,2.9296e-13,-3.6657e-13,8.7872e-13,-1.6502e-35,1.3212e-35,0,1,0,-2.6104e-33,8.488e-34,0,,25,0,0
7,0.07,1.5818e-19,1.5818e-19,-7.5295e-17,5.1274e-16,2.0529e-12,-6.0236e-13,6.1535e-12,-2.7198e-35,9.2361e-35,0,1,0,-1.336e-32,4.4742e-33,0,,25,0,0
8,0.08,-9.2246e-20,-9.2246e-20,-4.5055e-16,1.0715e-15,4.2848e-12,-3.6044e-12,1.2857e-11,-1.6222e-34,1.9336e-34,0,1,0,4.1145e-32,9.5845e-32,0,,25,0,0
9,0.09,1.7073e-18,1.7073e-18,-2.7018e-15,4.0012e-15,1.6025e-11,-2.1614e-11,4.8021e-11,-9.7367e-34,7.2129e-34,0,1,0,-3.1425e-31,-1.9344e-31,0,,25,0,0
10,0.1,2.4415e-18,2.4415e-18,-4.1787e-15,2.4227e-14,9.6936e-11,-3.3429e-11,2.9073e-10,-1.5061e-33,4.367e-33,0,1,0,1.14e-31,1.415e-30,0,,25,0,0
11,0.11,1.5607e-17,1.5607e-17,-3.2923e-14,5.6286e-14,2.2533e-10,-2.6338e-10,6.755e-10,-1.1864e-32,1.0148e-32,0,1,0,-1.884e-30,-8.4506e-31,0,,25,0,0
12,0.12,1.0873e-16,1.0873e-16,-1.0653e-13,2.683e-13,1.0745e-09,-8.5227e-10,3.2201e-09,-3.8394e-32,4.8396e-32,0,1,0,-6.4607e-30,1.2538e-29,0,,25,0,0
13,0.13,4.1014e-16,4.1013e-16,-6.065e-13,1.2767e-12,5.1117e-09,-4.852e-09,1.5322e-08,-2.1861e-31,2.3011e-31,0,1,0,-2.936e-29,1.673e-29,0,,25,0,0
14,0.14,2.3003e-16,2.3e-16,-1.3609e-12,1.6606e-12,6.6451e-09,-1.0887e-08,1.9928e-08,-4.9051e-31,2.9929e-31,0,1,0,-1.5403e-29,2.1343e-30,0,,25,0,0
15,0.15,-1.777e-16,-1.7773e-16,-1.2513e-12,1.8941e-12,7.5744e-09,-1.001e-08,2.2729e-08,-4.5105e-31,3.4137e-31,0,1,0,1.8451e-29,-2.8787e-29,0,,25,0,0
16,0.16,-1.4665e-16,-1.4677e-16,-7.5607e-13,-4.3925e-12,-1.7572e-08,-6.0486e-09,-5.271e-08,-2.7261e-31,-7.9173e-31,0,1,0,1.2946e-29,2.2326e-29,0,,25,0,0
17,0.17,2.1463e-16,2.1307e-16,-5.6364e-13,1.6075e-11,6.4303e-08,-4.5091e-09,1.929e-07,-2.0323e-31,2.8975e-30,0,1,0,1.9595e-30,-3.2063e-28,0,,25,0,0
18,0.18,-5.7461e-16,-5.7608e-16,-4.573e-13,-1.5658e-11,-6.264e-08,-3.6584e-09,-1.879e-07,-1.6484e-31,-2.8228e-30,0,1,0,2.5055e-30,3.3364e-27,0,,25,0,0
19,0.19,1.9018e-15,1.7e-15,-5.3446e-13,-1.8337e-10,-7.3345e-07,-4.2756e-09,-2.2004e-06,-1.9253e-31,-3.3048e-29,0,1,0,3.782e-29,-2.3566e-26,0,,25,0,0
