"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,50,0,0
1,0.01,-2.5548e-25,-2.5548e-25,-2.8384e-22,1.602e-21,6.405e-18,-2.2707e-18,1.9223e-17,-4.6412e-40,1.318e-39,0,2,0,-1.7763e-37,3.5212e-37,0,,50,0,0
2,0.02,-1.2322e-24,-1.2322e-24,-2.7328e-21,9.8053e-21,3.9206e-17,-2.1863e-17,1.1766e-16,-4.4837e-39,8.0558e-39,0,2,0,-6.1858e-37,1.0455e-36,0,,50,0,0
3,0.03,-1.4014e-24,-1.4014e-24,-6.6211e-21,1.6023e-20,6.4074e-17,-5.2969e-17,1.9227e-16,-1.0866e-38,1.3166e-38,0,2,0,-1.2965e-37,-1.2656e-36,0,,50,0,0
4,0.04,1.1616e-23,1.1616e-23,1.3239e-20,-7.6563e-20,-3.0611e-16,1.0591e-16,-9.187e-16,2.1714e-38,-6.289e-38,0,2,0,8.518e-36,-1.6265e-35,0,,50,0,0
5,0.05,4.0556e-23,4.0556e-23,9.6173e-20,-2.9951e-19,-1.1976e-15,7.6938e-16,-3.594e-15,1.579e-37,-2.4593e-37,0,2,0,1.4729e-35,-5.3689e-36,0,,50,0,0
6,0.06,-7.4107e-24,-7.4107e-24,7.7664e-20,1.4544e-19,5.8168e-16,6.2131e-16,1.7453e-15,1.2761e-37,1.1951e-37,0,2,0,-2.4416e-35,7.9648e-35,0,,50,0,0
7,0.07,-1.3821e-22,-1.3821e-22,-2.0173e-19,7.4984e-19,2.9977e-15,-1.6138e-15,8.9975e-15,-3.3127e-37,6.1552e-37,0,2,0,-6.9743e-35,-4.2147e-35,0,,50,0,0
8,0.08,5.8487e-22,5.8487e-22,-2.5644e-19,1.101e-18,4.4111e-15,-2.0515e-15,1.3215e-14,-4.2224e-37,9.0352e-37,0,2,0,-1.7744e-35,1.9084e-34,0,,50,0,0
9,0.09,-2.3876e-21,-2.3876e-21,-1.5969e-18,-9.1651e-19,-3.6947e-15,-1.2775e-14,-1.1008e-14,-2.6173e-36,-7.4915e-37,0,2,0,1.0279e-34,-9.9036e-35,0,,50,0,0
10,0.1,1.2195e-22,1.2195e-22,-6.5635e-18,4.1338e-17,1.6535e-13,-5.2508e-14,4.9605e-13,-1.0789e-35,3.393e-35,0,2,0,-4.4377e-33,6.4987e-33,0,,50,0,0
11,0.11,6.4959e-20,6.4959e-20,3.5106e-17,-2.6399e-16,-1.0552e-12,2.8084e-13,-3.1676e-12,5.7605e-35,-2.1673e-34,0,2,0,2.7893e-32,-6.4912e-32,0,,50,0,0
12,0.12,-6.2042e-19,-6.2042e-19,-4.2704e-16,2.2862e-15,9.1374e-12,-3.4163e-12,2.7432e-11,-7.007e-34,1.8771e-33,0,2,0,-1.8466e-31,4.9837e-31,0,,50,0,0
13,0.13,3.1201e-18,3.1201e-18,1.5343e-15,-9.762e-15,-3.9011e-11,1.2275e-11,-1.1713e-10,2.5165e-33,-8.0154e-33,0,2,0,5.5922e-31,-2.2029e-30,0,,50,0,0
14,0.14,-3.1263e-18,-3.1263e-18,-2.1033e-16,8.0716e-15,3.2249e-11,-1.6827e-12,9.6847e-11,-3.4099e-34,6.629e-33,0,2,0,-1.8377e-31,5.117e-30,0,,50,0,0
