"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,25,25,0
1,0.01,4.9939e-15,4.9939e-15,-2.9139e-14,-1.8959e-12,-7.5237e-09,-2.3311e-10,-2.2731e-08,-1.2476e-14,-3.336e-12,0,1,2,-3.934e-12,-3.8989e-10,0,,25,25,0
2,0.02,4.117e-14,4.117e-14,-1.3383e-13,1.0548e-11,4.2685e-08,-1.0707e-09,1.2674e-07,-9.4235e-14,-2.8978e-12,0,1,2,-1.0927e-11,1.4472e-09,0,,25,25,0
3,0.03,-2.5695e-13,-2.5695e-13,5.0142e-13,8.2183e-12,2.979e-08,4.0114e-09,9.7592e-08,2.9561e-14,3.0637e-11,0,1,2,6.6799e-11,2.8834e-09,0,,25,25,0
4,0.04,-1.3887e-12,-1.3888e-12,2.0012e-12,-3.3258e-11,-1.497e-07,1.6009e-08,-4.0465e-07,1.7688e-12,1.1105e-11,0,1,2,2.4863e-10,-7.4538e-09,0,,25,25,0
5,0.05,1.0592e-12,1.0592e-12,-3.7388e-12,-2.3276e-11,-8.0394e-08,-2.9911e-08,-2.7508e-07,1.0089e-12,4.6961e-12,0,1,2,-6.4274e-10,9.4038e-09,0,,25,25,0
6,0.06,4.4533e-12,4.4528e-12,-2.4772e-12,2.892e-10,1.2102e-06,-1.9818e-08,3.4882e-06,-8.1524e-12,-1.4157e-10,0,1,2,-2.1051e-10,4.4411e-08,0,,25,25,0
7,0.07,-9.7419e-12,-9.7468e-12,3.0106e-12,-9.0271e-10,-3.7278e-06,2.4085e-08,-1.0872e-05,2.371e-12,-6.5285e-10,0,1,2,-3.7065e-10,-8.685e-07,0,,25,25,0
8,0.08,1.2433e-10,1.2415e-10,1.0759e-11,-5.4742e-09,-2.0407e-05,8.6072e-08,-6.5194e-05,2.1026e-11,1.255e-08,0,1,2,9.7418e-09,5.2132e-06,0,,25,25,0
9,0.09,-6.5655e-10,-6.9411e-10,-3.991e-11,7.9344e-08,0.00030905,-3.1928e-07,0.00094935,-1.736e-10,-9.1278e-08,0,1,2,-9.2954e-09,-1.6224e-05,0,,25,25,0
10,0.1,4.0885e-09,2.3971e-09,2.8624e-11,-5.3174e-07,-0.0020982,2.2899e-07,-0.0063713,4.5886e-10,4.5969e-07,0,1,2,-2.8463e-07,1.2022e-05,0,,25,25,0
11,0.11,3.6519e-08,-4.5428e-09,3.9264e-10,2.6176e-06,0.010416,3.1411e-06,0.031392,1.1764e-09,-1.9103e-06,0,1,2,2.0821e-06,0.0001589,0,,25,25,0
12,0.12,6.597e-07,-2.5125e-09,-2.2127e-09,-1.0505e-05,-0.042049,-1.7701e-05,-0.12607,-1.6583e-08,7.2697e-06,0,1,2,-7.5826e-06,-0.0010087,0,,25,25,0
13,0.13,7.3438e-06,5.4668e-08,5.0069e-09,3.4837e-05,0.14,4.0055e-05,0.41826,8.294e-08,-2.6609e-05,0,1,2,1.4014e-05,0.0034073,0,,25,25,0
14,0.14,4.9e-05,-2.3367e-07,6.1932e-09,-9.0506e-05,-0.36483,4.9546e-05,-1.087,-2.7881e-07,9.1487e-05,0,1,2,1.017e-05,-0.0062109,0,,25,25,0
15,0.15,0.00014431,6.7113e-07,-1.0033e-07,0.0001545,0.62605,-0.00080267,1.8567,7.2691e-07,-0.00027275,0,1,2,-0.00017684,-0.0035747,0,,25,25,0
16,0.16,8.6072e-06,-1.558e-06,4.4887e-07,-4.0612e-05,-0.18114,0.0035909,-0.49357,-1.6181e-06,0.00062905,0,1,2,0.00073477,0.066304,0,,25,25,0
17,0.17,0.0022914,3.2621e-06,-1.3029e-06,-0.00061862,-2.4353,-0.010423,-7.4104,3.3362e-06,-0.00092185,0,1,2,-0.0020375,-0.2247,0,,25,25,0
18,0.18,0.014755,-6.4694e-06,3.1944e-06,0.0015707,6.205,0.025556,18.822,-6.4558e-06,0.00032753,0,1,2,0.0043155,0.37755,0,,25,25,0
19,0.19,0.0040136,1.1579e-05,-8.9148e-06,-0.00082042,-3.1427,-0.071318,-9.7987,1.0914e-05,0.0012866,0,1,2,-0.0073795,-0.20528,0,,25,25,0
20,0.2,0.021019,-1.6662e-05,2.5891e-05,-0.0018666,-7.6662,0.20713,-22.465,-1.5774e-05,-0.0007007,0,1,2,0.010449,-0.20026,0,,25,25,0
21,0.21,0.00029655,1.5841e-05,-5.3404e-05,-0.00021206,-0.65817,-0.42723,-2.4814,2.2427e-05,-0.003084,0,1,2,-0.011396,-0.089944,0,,25,25,0
22,0.22,0.061591,-7.878e-06,5.5434e-05,0.0032061,12.73,0.44347,38.442,-2.4565e-05,-0.00087246,0,1,2,0.0067291,0.37575,0,,25,25,0
23,0.23,0.20146,3.1914e-05,-7.6878e-06,0.0057833,23.516,-0.061502,69.528,-2.288e-05,0.0038152,0,1,2,-0.00030051,0.6751,0,,25,25,0
24,0.24,0.3214,-0.00014079,-9.3421e-06,0.0073662,27.775,-0.074737,87.831,0.00012116,0.011621,0,1,2,0.0082505,0.78377,0,,25,25,0
25,0.25,0.38536,0.00019774,-2.91e-05,0.0079439,34.149,-0.2328,96.118,-9.4123e-05,0.020151,0,1,2,-0.024121,0.91241,0,,25,25,0
26,0.26,0.4142,-0.0001772,2.2195e-05,0.0083678,31.345,0.17756,99.704,-4.2596e-05,0.028858,0,1,2,0.015421,0.90748,0,,25,25,0
27,0.27,0.40744,0.00018977,4.1833e-05,0.0081733,34.97,0.33466,98.839,6.1162e-05,0.038507,0,1,2,0.014396,0.87807,0,,25,25,0
28,0.28,0.4186,-0.00017419,-6.0884e-05,0.0084105,31.552,-0.48707,100.23,5.2581e-05,0.046928,0,1,2,-0.02513,0.96252,0,,25,25,0
29,0.29,0.41892,-2.1116e-05,2.3417e-05,0.008363,33.199,0.18734,100.27,-6.2456e-05,0.056647,0,1,2,0.012918,0.86559,0,,25,25,0
