"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,50,25,0
1,0.01,2.6205e-14,2.6205e-14,1.9269e-13,-1.0505e-14,2.7244e-10,1.5415e-09,-2.124e-11,5.3681e-14,-3.3424e-13,0,2,1,1.4058e-11,-4.2662e-11,0,,50,25,0
2,0.02,-2.1193e-13,-2.1193e-13,-7.9203e-13,1.3409e-12,2.8204e-09,-6.3362e-09,1.5243e-08,-3.1883e-13,7.3407e-14,0,2,1,-1.4743e-10,2.3957e-10,0,,50,25,0
3,0.03,-3.6738e-13,-3.6738e-13,-1.1899e-12,6.9369e-15,-4.3809e-09,-9.519e-09,-1.3863e-09,-2.7218e-12,4.5901e-12,0,2,1,-1.4272e-10,3.0962e-10,0,,50,25,0
4,0.04,9.7289e-13,9.7289e-13,3.2992e-12,-7.8426e-12,-1.9696e-08,2.6394e-08,-9.022e-08,-3.2666e-13,5.2779e-13,0,2,1,8.2878e-10,-1.6438e-09,0,,50,25,0
5,0.05,-1.0897e-11,-1.0897e-11,5.4269e-12,-1.6481e-11,-1.9669e-07,4.3415e-08,-2.4136e-07,-3.4538e-12,1.337e-11,0,2,1,-4.0164e-09,8.8767e-09,0,,50,25,0
6,0.06,1.0388e-10,1.0388e-10,-7.0253e-11,2.8273e-10,2.3775e-06,-5.6202e-07,3.8083e-06,8.6023e-11,-1.6996e-10,0,2,1,-3.2309e-09,1.3696e-08,0,,50,25,0
7,0.07,3.8199e-11,3.8186e-11,2.4831e-10,-1.4817e-09,-5.4686e-06,1.9865e-06,-1.7628e-05,-8.3353e-12,-1.7523e-11,0,2,1,3.0674e-07,-6.8892e-07,0,,50,25,0
8,0.08,-5.3777e-09,-5.3779e-09,1.1055e-09,8.5872e-10,-6.11e-05,8.8436e-06,-1.1207e-05,-3.6599e-09,8.2129e-09,0,2,1,-2.3056e-06,5.3144e-06,0,,50,25,0
9,0.09,4.4514e-08,4.4483e-08,-1.8445e-08,3.9915e-08,0.00069345,-0.00014756,0.00065692,3.2411e-08,-7.5345e-08,0,2,1,9.3551e-06,-2.3812e-05,0,,50,25,0
