"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,25,50,0
1,0.01,0.55966,1.4284e-05,1.4913e-06,0.0096531,38.784,0.011931,115.89,2.0984e-06,0.0099613,0,1,2,0.00047723,0.96883,0,,25,50,0
2,0.02,0.31255,-8.3242e-06,1.4925e-06,0.0072203,28.781,0.01194,86.61,7.1653e-08,0.017731,0,1,2,-0.00071982,1.0762,0,,25,50,0
3,0.03,0.42909,1.4305e-05,-3.1487e-06,0.0084518,33.979,-0.02519,101.48,1.6217e-06,0.027455,0,1,2,0.00052628,0.69877,0,,25,50,0
4,0.04,0.48122,-3.2832e-06,3.078e-06,0.0089567,35.788,0.024624,107.47,8.8336e-07,0.036805,0,1,2,-8.3588e-06,1.0574,0,,25,50,0
5,0.05,0.33272,-1.9515e-06,-6.59e-07,0.0074473,29.766,-0.005272,89.36,-4.6407e-07,0.045219,0,1,2,-0.00063143,0.89759,0,,25,50,0
6,0.06,0.4826,1.1045e-05,-3.2394e-06,0.0089646,35.991,-0.025915,107.62,1.3289e-06,0.055076,0,1,2,0.00072292,0.8126,0,,25,50,0
7,0.07,0.40904,-8.6122e-06,5.2643e-06,0.0082596,32.935,0.042114,99.081,-3.5177e-07,0.06386,0,1,2,-0.00025211,1.0586,0,,25,50,0
8,0.08,0.37216,6.0003e-06,-3.5388e-06,0.0078736,31.567,-0.028311,94.508,9.2562e-07,0.07281,0,1,2,-0.00034481,0.8062,0,,25,50,0
9,0.09,0.48836,3.834e-06,-8.7311e-07,0.0090205,36.128,-0.0069849,108.26,-6.9324e-07,0.082486,0,1,2,0.00040014,0.92608,0,,25,50,0
10,0.1,0.36595,-6.0278e-06,6.5346e-06,0.0078118,31.175,0.052277,93.717,1.9212e-06,0.091032,0,1,2,-0.00017339,0.99253,0,,25,50,0
11,0.11,0.42536,3.0716e-06,-1.237e-05,0.0084187,33.712,-0.09896,101.04,-9.4071e-06,0.10046,0,1,2,0.0010737,0.78907,0,,25,50,0
12,0.12,0.45429,1.6118e-05,1.6018e-05,0.0086959,34.977,0.12814,104.42,2.3224e-05,0.10972,0,1,2,-0.0069165,1.0152,0,,25,50,0
13,0.13,0.35854,-3.5503e-05,-1.0425e-05,0.0077424,30.544,-0.083403,92.767,-3.7531e-05,0.11838,0,1,2,0.023159,0.87581,0,,25,50,0
14,0.14,0.47078,4.936e-05,-3.3729e-06,0.0088409,35.956,-0.026983,106.29,4.2296e-05,0.12806,0,1,2,-0.052446,0.88301,0,,25,50,0
15,0.15,0.39636,-3.5486e-05,1.0581e-05,0.0081399,32.134,0.08465,97.536,-4.4298e-05,0.13681,0,1,2,0.088274,0.9743,0,,25,50,0
16,0.16,0.39843,-9.2647e-06,2.1374e-05,0.0081521,32.497,0.17099,97.788,6.5651e-05,0.14598,0,1,2,-0.11417,0.8648,0,,25,50,0
17,0.17,0.46578,6.9543e-05,-0.00010237,0.0087859,35.978,-0.81898,105.71,-0.00012902,0.1554,0,1,2,0.11188,0.91568,0,,25,50,0
18,0.18,0.36558,-6.5367e-05,0.00019602,0.0078247,30.515,1.5682,93.635,0.00020403,0.16402,0,1,2,-0.07592,0.95774,0,,25,50,0
19,0.19,0.44415,-2.0262e-05,-0.00022411,0.0086068,34.184,-1.7929,103.2,-0.00022578,0.1736,0,1,2,0.022322,0.83819,0,,25,50,0
20,0.2,0.43591,-6.5972e-05,0.00012829,0.0085447,33.387,1.0263,102.27,0.00018072,0.18269,0,1,2,0.025554,0.99485,0,,25,50,0
21,0.21,0.36849,0.00035191,3.7308e-05,0.0077086,35.057,0.29846,93.911,-7.3368e-05,0.19138,0,1,2,-0.050394,0.86251,0,,25,50,0
22,0.22,0.47533,7.8311e-05,-0.00013024,0.0088723,36.429,-1.0419,106.78,1.455e-06,0.20104,0,1,2,0.052082,0.86674,0,,25,50,0
23,0.23,0.37451,-0.00057389,6.7111e-05,0.0080789,25.429,0.53689,94.652,1.9884e-05,0.20974,0,1,2,-0.042746,1.0493,0,,25,50,0
24,0.24,0.38939,-0.0010291,6.4326e-05,0.0083507,21.054,0.51461,96.093,3.8653e-06,0.21917,0,1,2,0.031396,0.81932,0,,25,50,0
25,0.25,0.49797,-0.0018027,-0.0001618,0.009566,16.632,-1.2944,107.58,1.3434e-05,0.22932,0,1,2,-0.010557,1.0326,0,,25,50,0
26,0.26,0.36396,-0.0021116,0.0001728,0.0082543,7.6773,1.3824,90.605,6.0413e-05,0.2383,0,1,2,-0.015833,1.0294,0,,25,50,0
27,0.27,0.47815,-0.0026354,-7.7551e-05,0.0094778,6.2869,-0.62041,103.19,-0.00013121,0.24839,0,1,2,0.029208,0.79581,0,,25,50,0
28,0.28,0.49142,-0.0029986,-3.6514e-05,0.0096256,2.5195,-0.29212,103.51,0.00010062,0.25805,0,1,2,-0.036147,1.1399,0,,25,50,0
29,0.29,0.39171,-0.0030329,6.4947e-05,0.008601,-1.9911,0.51958,91.08,-9.0013e-05,0.26766,0,1,2,0.032694,0.97577,0,,25,50,0
30,0.3,0.55474,-0.0032368,9.2931e-06,0.010227,2.0653,0.074345,109.77,1.767e-05,0.2784,0,1,2,-0.015536,0.88588,0,,25,50,0
31,0.31,0.46435,-0.0036353,-0.00010683,0.0093503,-6.2225,-0.85462,97.662,7.6514e-06,0.28723,0,1,2,-0.0046568,1.0611,0,,25,50,0
32,0.32,0.45786,-0.0040924,0.00014175,0.0092431,-12.137,1.134,94.547,5.9725e-06,0.29639,0,1,2,0.01891,0.81784,0,,25,50,0
33,0.33,0.58203,-0.0043243,-9.1996e-05,0.010447,-10.105,-0.73597,108.06,-5.7306e-05,0.30653,0,1,2,-0.016035,1.001,0,,25,50,0
34,0.34,0.44912,-0.0042939,6.5059e-06,0.0091242,-15.03,0.052047,92.315,0.00011434,0.31581,0,1,2,-0.00028989,1.0923,0,,25,50,0
35,0.35,0.52521,-0.0040153,3.6454e-05,0.0099332,-8.4507,0.29164,103.14,-0.00011915,0.32639,0,1,2,0.016918,0.89056,0,,25,50,0
36,0.36,0.55248,-0.0038993,-1.3765e-05,0.0102,-5.991,-0.11012,106.8,8.6421e-05,0.33644,0,1,2,-0.01943,1.062,0,,25,50,0
37,0.37,0.45917,-0.003906,-3.6069e-05,0.009278,-9.7604,-0.28855,95.712,-3.2449e-05,0.34534,0,1,2,0.0034539,0.89766,0,,25,50,0
38,0.38,0.58734,-0.0043192,5.6231e-05,0.010496,-9.8449,0.44985,108.68,-1.0963e-05,0.35464,0,1,2,0.01828,0.76931,0,,25,50,0
39,0.39,0.54112,-0.0049376,-2.921e-05,0.0099728,-19.36,-0.23368,99.923,1.779e-05,0.3626,0,1,2,-0.030235,0.93184,0,,25,50,0
40,0.4,0.5491,-0.0055413,-9.2206e-06,0.0099185,-26.822,-0.073765,96.856,2.3288e-06,0.37046,0,1,2,0.02602,0.67556,0,,25,50,0
41,0.41,0.68091,-0.0063604,1.1821e-05,0.010985,-32.385,0.09457,106.38,-4.1213e-05,0.37886,0,1,2,-0.010964,0.8536,0,,25,50,0
42,0.42,0.58664,-0.0069046,2.542e-05,0.0098213,-43.57,0.20336,90.237,6.7498e-05,0.38637,0,1,2,-0.0047942,0.86458,0,,25,50,0
43,0.43,0.70817,-0.0072856,-6.0212e-05,0.010917,-43.759,-0.48169,101.86,-3.8422e-05,0.39521,0,1,2,0.017883,0.72982,0,,25,50,0
44,0.44,0.72967,-0.0077391,4.9728e-05,0.010926,-49.165,0.39783,100.15,-1.3815e-05,0.40399,0,1,2,-0.02459,1.0534,0,,25,50,0
