"TimeStep","Time","Energy","Exx","Exy","Eyy","Sxx","Sxy","Syy","displacements:0","displacements:1","displacements:2","material_id","subdomain","velocities:0","velocities:1","velocities:2","vtkValidPointMask","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,50,50,0
1,0.01,0.52809,-0.0024344,-0.00059134,0.0099047,10.406,-4.7307,109.12,-0.0019916,0.010171,0,2,1,-0.50544,1.0666,0,,50,50,0
2,0.02,0.38328,-0.0024473,0.00031297,0.0084861,4.5768,2.5038,92.044,-0.0049208,0.01964,0,2,1,-0.15161,1.1679,0,,50,50,0
3,0.03,0.47046,-0.0040988,-0.00029967,0.0093688,-11.711,-2.3973,96.03,-0.0087047,0.030135,0,2,1,-0.30005,0.88987,0,,50,50,0
4,0.04,0.48453,-0.0028576,5.5781e-05,0.009553,3.921,0.44625,103.21,-0.010873,0.04043,0,2,1,-0.38993,1.0747,0,,50,50,0
5,0.05,0.42288,-0.0029569,0.00019598,0.0089323,0.24641,1.5678,95.36,-0.013997,0.05026,0,2,1,-0.19552,1.0031,0,,50,50,0
6,0.06,0.50286,-0.0035616,-9.2059e-05,0.0097381,-3.7875,-0.73647,102.61,-0.017082,0.060724,0,2,1,-0.31896,0.98323,0,,50,50,0
7,0.07,0.44325,-0.00287,4.9546e-05,0.0091437,2.1345,0.39637,98.244,-0.0196,0.070633,0,2,1,-0.29649,1.0832,0,,50,50,0
8,0.08,0.44931,-0.0032537,8.6241e-06,0.0092097,-2.2051,0.068993,97.502,-0.022749,0.080737,0,2,1,-0.25509,0.93615,0,,50,50,0
9,0.09,0.50812,-0.0031756,3.6344e-05,0.0097907,1.0556,0.29075,104.79,-0.025454,0.091151,0,2,1,-0.3323,1.038,0,,50,50,0
10,0.1,0.42754,-0.0029344,4.6477e-05,0.0089837,0.72166,0.37182,96.067,-0.028264,0.1009,0,2,1,-0.23967,1.0573,0,,50,50,0
11,0.11,0.47374,-0.0033858,-8.4007e-05,0.0094546,-2.8111,-0.67206,99.912,-0.031337,0.11121,0,2,1,-0.29752,0.93378,0,,50,50,0
12,0.12,0.489,-0.0029807,8.4653e-05,0.0096011,2.6359,0.67722,103.29,-0.033919,0.12144,0,2,1,-0.31295,1.0668,0,,50,50,0
13,0.13,0.43018,-0.0030904,2.2516e-06,0.0090128,-1.0338,0.018013,95.792,-0.036924,0.13125,0,2,1,-0.2432,1.0119,0,,50,50,0
14,0.14,0.49423,-0.003235,-2.446e-05,0.0096578,-0.18855,-0.19568,102.95,-0.039762,0.14167,0,2,1,-0.30807,0.95446,0,,50,50,0
15,0.15,0.4628,-0.0031227,1.4507e-05,0.0093467,-0.085374,0.11606,99.67,-0.042574,0.15167,0,2,1,-0.29137,1.1117,0,,50,50,0
16,0.16,0.43468,-0.0028701,3.2916e-05,0.0090561,1.7835,0.26333,97.193,-0.045339,0.16161,0,2,1,-0.25564,0.89923,0,,50,50,0
17,0.17,0.52875,-0.0036933,-7.1409e-05,0.0099838,-4.3848,-0.57128,105.03,-0.048524,0.17219,0,2,1,-0.31343,1.0951,0,,50,50,0
18,0.18,0.40531,-0.002316,0.00015366,0.008718,7.0795,1.2293,95.352,-0.050717,0.18174,0,2,1,-0.2882,0.98698,0,,50,50,0
19,0.19,0.51361,-0.0039189,-0.00023118,0.0098228,-7.7348,-1.8495,102.2,-0.054435,0.19227,0,2,1,-0.22692,0.98317,0,,50,50,0
20,0.2,0.45551,-0.002652,0.00024897,0.0092522,5.1853,1.9918,100.42,-0.056456,0.20226,0,2,1,-0.38421,1.0537,0,,50,50,0
21,0.21,0.45422,-0.0031093,-0.00014823,0.0092583,-0.27868,-1.1858,98.663,-0.059779,0.21228,0,2,1,-0.18878,0.99977,0,,50,50,0
22,0.22,0.48892,-0.0035254,-2.7686e-07,0.0096029,-3.8937,-0.0022148,101.13,-0.062609,0.22258,0,2,1,-0.32168,0.97788,0,,50,50,0
23,0.23,0.44463,-0.0026503,8.2657e-05,0.0091474,4.7862,0.66125,99.168,-0.065117,0.23246,0,2,1,-0.32687,1.07,0,,50,50,0
24,0.24,0.48029,-0.0033282,-9.9343e-06,0.0095211,-1.8536,-0.079475,100.94,-0.068271,0.24285,0,2,1,-0.17546,0.96074,0,,50,50,0
25,0.25,0.4673,-0.0033051,-0.00014941,0.0093899,-2.1013,-1.1953,99.459,-0.071121,0.25276,0,2,1,-0.41236,1.0415,0,,50,50,0
26,0.26,0.45394,-0.0027,0.00027651,0.0092382,4.5533,2.2121,100.06,-0.073662,0.26292,0,2,1,-0.20206,0.99541,0,,50,50,0
